ds_name,instances,metric,mean_per_round,rounds,std_per_round
HashTable(100|chaining|linear|poly31),1000,hash_collisions,900.0,5,0.0
HashTable(100|chaining|linear|poly31),2000,hash_collisions,1900.0,5,0.0
HashTable(100|chaining|linear|poly31),3000,hash_collisions,2900.0,5,0.0
HashTable(100|chaining|linear|poly31),4000,hash_collisions,3900.0,5,0.0
HashTable(100|chaining|linear|poly31),5000,hash_collisions,4900.0,5,0.0
HashTable(100|chaining|linear|poly31),6000,hash_collisions,5900.0,5,0.0
HashTable(100|chaining|linear|poly31),7000,hash_collisions,6900.0,5,0.0
HashTable(100|chaining|linear|poly31),8000,hash_collisions,7900.0,5,0.0
HashTable(100|chaining|linear|poly31),9000,hash_collisions,8900.0,5,0.0
HashTable(100|chaining|linear|poly31),10000,hash_collisions,9900.0,5,0.0
HashTable(100|chaining|quadratic|poly31),1000,hash_collisions,900.0,5,0.0
HashTable(100|chaining|quadratic|poly31),2000,hash_collisions,1900.0,5,0.0
HashTable(100|chaining|quadratic|poly31),3000,hash_collisions,2900.0,5,0.0
HashTable(100|chaining|quadratic|poly31),4000,hash_collisions,3900.0,5,0.0
HashTable(100|chaining|quadratic|poly31),5000,hash_collisions,4900.0,5,0.0
HashTable(100|chaining|quadratic|poly31),6000,hash_collisions,5900.0,5,0.0
HashTable(100|chaining|quadratic|poly31),7000,hash_collisions,6900.0,5,0.0
HashTable(100|chaining|quadratic|poly31),8000,hash_collisions,7900.0,5,0.0
HashTable(100|chaining|quadratic|poly31),9000,hash_collisions,8900.0,5,0.0
HashTable(100|chaining|quadratic|poly31),10000,hash_collisions,9900.0,5,0.0
HashTable(150|chaining|linear|poly31),1000,hash_collisions,872.0,5,0.0
HashTable(150|chaining|linear|poly31),2000,hash_collisions,1865.0,5,0.0
HashTable(150|chaining|linear|poly31),3000,hash_collisions,2860.0,5,0.0
HashTable(150|chaining|linear|poly31),4000,hash_collisions,3856.0,5,0.0
HashTable(150|chaining|linear|poly31),5000,hash_collisions,4852.0,5,0.0
HashTable(150|chaining|linear|poly31),6000,hash_collisions,5850.0,5,0.0
HashTable(150|chaining|linear|poly31),7000,hash_collisions,6850.0,5,0.0
HashTable(150|chaining|linear|poly31),8000,hash_collisions,7850.0,5,0.0
HashTable(150|chaining|linear|poly31),9000,hash_collisions,8850.0,5,0.0
HashTable(150|chaining|linear|poly31),10000,hash_collisions,9850.0,5,0.0
HashTable(150|chaining|quadratic|poly31),1000,hash_collisions,872.0,5,0.0
HashTable(150|chaining|quadratic|poly31),2000,hash_collisions,1865.0,5,0.0
HashTable(150|chaining|quadratic|poly31),3000,hash_collisions,2860.0,5,0.0
HashTable(150|chaining|quadratic|poly31),4000,hash_collisions,3856.0,5,0.0
HashTable(150|chaining|quadratic|poly31),5000,hash_collisions,4852.0,5,0.0
HashTable(150|chaining|quadratic|poly31),6000,hash_collisions,5850.0,5,0.0
HashTable(150|chaining|quadratic|poly31),7000,hash_collisions,6850.0,5,0.0
HashTable(150|chaining|quadratic|poly31),8000,hash_collisions,7850.0,5,0.0
HashTable(150|chaining|quadratic|poly31),9000,hash_collisions,8850.0,5,0.0
HashTable(150|chaining|quadratic|poly31),10000,hash_collisions,9850.0,5,0.0
HashTable(50|chaining|linear|poly31),1000,hash_collisions,950.0,5,0.0
HashTable(50|chaining|linear|poly31),2000,hash_collisions,1950.0,5,0.0
HashTable(50|chaining|linear|poly31),3000,hash_collisions,2950.0,5,0.0
HashTable(50|chaining|linear|poly31),4000,hash_collisions,3950.0,5,0.0
HashTable(50|chaining|linear|poly31),5000,hash_collisions,4950.0,5,0.0
HashTable(50|chaining|linear|poly31),6000,hash_collisions,5950.0,5,0.0
HashTable(50|chaining|linear|poly31),7000,hash_collisions,6950.0,5,0.0
HashTable(50|chaining|linear|poly31),8000,hash_collisions,7950.0,5,0.0
HashTable(50|chaining|linear|poly31),9000,hash_collisions,8950.0,5,0.0
HashTable(50|chaining|linear|poly31),10000,hash_collisions,9950.0,5,0.0
HashTable(50|chaining|quadratic|poly31),1000,hash_collisions,950.0,5,0.0
HashTable(50|chaining|quadratic|poly31),2000,hash_collisions,1950.0,5,0.0
HashTable(50|chaining|quadratic|poly31),3000,hash_collisions,2950.0,5,0.0
HashTable(50|chaining|quadratic|poly31),4000,hash_collisions,3950.0,5,0.0
HashTable(50|chaining|quadratic|poly31),5000,hash_collisions,4950.0,5,0.0
HashTable(50|chaining|quadratic|poly31),6000,hash_collisions,5950.0,5,0.0
HashTable(50|chaining|quadratic|poly31),7000,hash_collisions,6950.0,5,0.0
HashTable(50|chaining|quadratic|poly31),8000,hash_collisions,7950.0,5,0.0
HashTable(50|chaining|quadratic|poly31),9000,hash_collisions,8950.0,5,0.0
HashTable(50|chaining|quadratic|poly31),10000,hash_collisions,9950.0,5,0.0
