ds_name,instances,metric,mean_per_round,rounds,std_per_round
HashTable(100|chaining|linear|poly31),1000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|linear|poly31),2000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|linear|poly31),3000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|linear|poly31),4000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|linear|poly31),5000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|linear|poly31),6000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|linear|poly31),7000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|linear|poly31),8000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|linear|poly31),9000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|linear|poly31),10000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|quadratic|poly31),1000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|quadratic|poly31),2000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|quadratic|poly31),3000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|quadratic|poly31),4000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|quadratic|poly31),5000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|quadratic|poly31),6000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|quadratic|poly31),7000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|quadratic|poly31),8000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|quadratic|poly31),9000,hash_cluster_len,0.0,5,0.0
HashTable(100|chaining|quadratic|poly31),10000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|linear|poly31),1000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|linear|poly31),2000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|linear|poly31),3000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|linear|poly31),4000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|linear|poly31),5000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|linear|poly31),6000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|linear|poly31),7000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|linear|poly31),8000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|linear|poly31),9000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|linear|poly31),10000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|quadratic|poly31),1000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|quadratic|poly31),2000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|quadratic|poly31),3000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|quadratic|poly31),4000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|quadratic|poly31),5000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|quadratic|poly31),6000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|quadratic|poly31),7000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|quadratic|poly31),8000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|quadratic|poly31),9000,hash_cluster_len,0.0,5,0.0
HashTable(150|chaining|quadratic|poly31),10000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|linear|poly31),1000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|linear|poly31),2000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|linear|poly31),3000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|linear|poly31),4000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|linear|poly31),5000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|linear|poly31),6000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|linear|poly31),7000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|linear|poly31),8000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|linear|poly31),9000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|linear|poly31),10000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|quadratic|poly31),1000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|quadratic|poly31),2000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|quadratic|poly31),3000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|quadratic|poly31),4000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|quadratic|poly31),5000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|quadratic|poly31),6000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|quadratic|poly31),7000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|quadratic|poly31),8000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|quadratic|poly31),9000,hash_cluster_len,0.0,5,0.0
HashTable(50|chaining|quadratic|poly31),10000,hash_cluster_len,0.0,5,0.0
