ds_name,instances,metric,mean_per_round,rounds,std_per_round
HashTable(100|chaining|djb2),1000,hash_bucket_len_after,5716.0,5,0.0
HashTable(100|chaining|djb2),2000,hash_bucket_len_after,21418.0,5,0.0
HashTable(100|chaining|djb2),3000,hash_bucket_len_after,46980.0,5,0.0
HashTable(100|chaining|djb2),4000,hash_bucket_len_after,82688.0,5,0.0
HashTable(100|chaining|djb2),5000,hash_bucket_len_after,128208.0,5,0.0
HashTable(100|chaining|djb2),6000,hash_bucket_len_after,183531.0,5,0.0
HashTable(100|chaining|djb2),7000,hash_bucket_len_after,248996.0,5,0.0
HashTable(100|chaining|djb2),8000,hash_bucket_len_after,324324.0,5,0.0
HashTable(100|chaining|djb2),9000,hash_bucket_len_after,409624.0,5,0.0
HashTable(100|chaining|djb2),10000,hash_bucket_len_after,505336.0,5,0.0
HashTable(100|chaining|fnv1a),1000,hash_bucket_len_after,5824.0,5,0.0
HashTable(100|chaining|fnv1a),2000,hash_bucket_len_after,21522.0,5,0.0
HashTable(100|chaining|fnv1a),3000,hash_bucket_len_after,47198.0,5,0.0
HashTable(100|chaining|fnv1a),4000,hash_bucket_len_after,82912.0,5,0.0
HashTable(100|chaining|fnv1a),5000,hash_bucket_len_after,128898.0,5,0.0
HashTable(100|chaining|fnv1a),6000,hash_bucket_len_after,185162.0,5,0.0
HashTable(100|chaining|fnv1a),7000,hash_bucket_len_after,251756.0,5,0.0
HashTable(100|chaining|fnv1a),8000,hash_bucket_len_after,326884.0,5,0.0
HashTable(100|chaining|fnv1a),9000,hash_bucket_len_after,412818.0,5,0.0
HashTable(100|chaining|fnv1a),10000,hash_bucket_len_after,509534.0,5,0.0
HashTable(100|chaining|poly31),1000,hash_bucket_len_after,5604.0,5,0.0
HashTable(100|chaining|poly31),2000,hash_bucket_len_after,21204.0,5,0.0
HashTable(100|chaining|poly31),3000,hash_bucket_len_after,46744.0,5,0.0
HashTable(100|chaining|poly31),4000,hash_bucket_len_after,82205.0,5,0.0
HashTable(100|chaining|poly31),5000,hash_bucket_len_after,127692.0,5,0.0
HashTable(100|chaining|poly31),6000,hash_bucket_len_after,183197.0,5,0.0
HashTable(100|chaining|poly31),7000,hash_bucket_len_after,248650.0,5,0.0
HashTable(100|chaining|poly31),8000,hash_bucket_len_after,324096.0,5,0.0
HashTable(100|chaining|poly31),9000,hash_bucket_len_after,409604.0,5,0.0
HashTable(100|chaining|poly31),10000,hash_bucket_len_after,505260.0,5,0.0
